DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,BRAND,PACK_SIZE
43390,1,1000,1,5,Natural Chip        Compny SeaSalt175g,2,6,Natural,1
43599,1,1307,348,66,CCs Nacho Cheese    175g,3,6.3,CCs,1
43605,1,1343,383,61,Smiths Crinkle Cut  Chips Chicken 170g,2,2.9,Smiths,1
43329,2,2373,974,69,Smiths Chip Thinly  S/Cream&Onion 175g,5,15,Smiths,1
43330,2,2426,1038,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,3,13.8,Kettle,1
43604,4,4074,2982,57,Old El Paso Salsa   Dip Tomato Mild 300g,1,5.1,Old,3
43601,4,4149,3333,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,Smiths,3
43601,4,4196,3539,24,Grain Waves         Sweet Chilli 210g,1,3.6,Grain,2
43332,5,5026,4525,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,Doritos,1
43330,7,7150,6900,52,Grain Waves Sour    Cream&Chives 210G,2,7.2,Grain,2
43602,7,7215,7176,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,Smiths,3
43332,8,8294,8221,114,Kettle Sensations   Siracha Lime 150g,5,23,Kettle,1
43603,9,9208,8634,15,Twisties Cheese     270g,2,9.2,Twisties,2
43329,13,13213,12447,92,WW Crinkle Cut      Chicken 175g,1,1.7,WW,1
43600,19,19272,16686,44,Thins Chips Light&  Tangy 175g,1,3.3,Thins,1
43604,20,20164,17136,54,CCs Original 175g,1,2.1,CCs,1
43330,20,20418,17413,94,Burger Rings 220g,4,9.2,Burger,2
43326,22,22411,18646,98,NCC Sour Cream &    Garden Chives 175g,1,3,NCC,1
43329,22,22456,18696,93,Doritos Corn Chip Southern Chicken 150g,1,3.9,Doritos,1
43601,23,23067,19162,56,Cheezels Cheese Box 125g,1,2.1,Cheezels,1
43604,25,25105,21815,7,Smiths Crinkle      Original 330g,1,5.7,Smiths,3
43328,33,33081,29949,98,NCC Sour Cream &    Garden Chives 175g,1,3,NCC,1
43328,36,36012,32077,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,Infzns,1
43331,36,36302,33188,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,Kettle,1
43327,38,38142,34181,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,Kettle,1
43600,39,39144,35506,57,Old El Paso Salsa   Dip Tomato Mild 300g,1,5.1,Old,3
43331,39,39167,35638,111,Smiths Chip Thinly  Cut Original 175g,2,6,Smiths,1
43600,41,41423,38393,46,Kettle Original 175g,1,5.4,Kettle,1
43327,41,41486,38472,13,Red Rock Deli Thai  Chilli&Lime 150g,1,2.7,Red,1
43605,43,43110,39342,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,Infzns,1
43601,43,43147,39608,99,Pringles Sthrn FriedChicken 134g,1,3.7,Pringles,1
43600,43,43227,40186,26,Pringles Sweet&Spcy BBQ 134g,4,14.8,Pringles,1
43605,45,45127,41122,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,2,5.4,Red,1
43603,45,45220,41651,22,Thins Chips         Originl saltd 175g,1,3.3,Thins,1
43328,51,51100,46802,48,Red Rock Deli Sp    Salt & Truffle 150G,1,2.7,Red,1
43331,51,51100,46803,37,Smiths Thinly       Swt Chli&S/Cream175G,1,3,Smiths,1
43330,51,51113,46828,36,Kettle Chilli 175g,1,5.4,Kettle,1
43329,54,54226,48173,51,Doritos Mexicana    170g,1,4.4,Doritos,1
43330,54,54305,48301,44,Thins Chips Light&  Tangy 175g,2,6.6,Thins,1
43330,55,55072,48878,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6,Smiths,1
43599,55,55072,48883,106,Natural ChipCo      Hony Soy Chckn175g,1,3,Natural,1
43605,55,55073,48887,4,Dorito Corn Chp     Supreme 380g,1,3.25,Dorito,3
43605,55,55073,48887,113,Twisties Chicken270g,1,4.6,Twisties,2
43601,55,55202,49690,45,Smiths Thinly Cut   Roast Chicken 175g,1,3,Smiths,1
43330,56,56013,50090,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6,Smiths,1
43601,58,58324,54252,102,Kettle Mozzarella   Basil & Pesto 175g,1,5.4,Kettle,1
43601,59,59344,56007,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,Infzns,1
43328,60,60038,56304,104,Infuzions Thai SweetChili PotatoMix 110g,1,3.8,Infuzions,1
43600,60,60162,56825,7,Smiths Crinkle      Original 330g,1,5.7,Smiths,3
43599,62,62177,58848,3,Kettle Sensations   Camembert & Fig 150g,1,4.6,Kettle,1
43605,63,63201,60709,82,Smith Crinkle Cut   Mac N Cheese 150g,1,2.6,Smith,1
43332,67,67053,64137,88,Kettle Honey Soy    Chicken 175g,1,5.4,Kettle,1
43605,71,71122,69717,40,Thins Chips Seasonedchicken 175g,1,3.3,Thins,1
43604,71,71212,70337,73,Smiths Crinkle Cut  Salt & Vinegar 170g,2,5.8,Smiths,1
43329,72,72094,70995,7,Smiths Crinkle      Original 330g,1,5.7,Smiths,3
43601,72,72335,72083,87,Infuzions BBQ Rib   Prawn Crackers 110g,1,3.8,Infuzions,1
43601,74,74336,73182,84,GrnWves Plus Btroot & Chilli Jam 180g,5,15.5,GrnWves,1
43599,75,75091,73751,42,Doritos Corn Chip Mexican Jalapeno 150g,2,7.8,Doritos,1
43331,75,75186,74168,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,Kettle,1
43326,75,75309,74676,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,Tyrrells,1
43332,80,80182,78978,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,Kettle,1
43605,81,81357,81315,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,Kettle,1
43599,82,82114,81571,99,Pringles Sthrn FriedChicken 134g,2,7.4,Pringles,1
43600,82,82480,82047,101,Doritos Salsa       Medium 300g,1,2.6,Doritos,3
43329,83,83008,82090,104,Infuzions Thai SweetChili PotatoMix 110g,2,7.6,Infuzions,1
43605,83,83008,82099,63,Kettle 135g Swt Pot Sea Salt,2,8.4,Kettle,1
43599,83,83062,82438,25,Pringles SourCream  Onion 134g,2,7.4,Pringles,1
43328,83,83186,83162,4,Dorito Corn Chp     Supreme 380g,2,6.5,Dorito,3
43602,84,84096,83673,47,Doritos Corn Chips  Original 170g,1,4.4,Doritos,1
43605,88,88320,87811,113,Twisties Chicken270g,2,9.2,Twisties,2
43601,94,94077,92932,71,Twisties Cheese     Burger 250g,1,4.3,Twisties,2
43327,94,94233,93956,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,1,5.1,Old,3
43331,96,96203,96025,7,Smiths Crinkle      Original 330g,5,28.5,Smiths,3
43600,97,97033,96478,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,Cobs,1
