STORE_NBR,MONTH,TOTAL_SALES,TOTAL_CUSTOMERS,TOTAL_TRANSACTIONS,AVG_TXN_PER_CUSTOMER,AVG_SPEND_PER_CUSTOMER,AVG_UNITS_PER_TXN
1,2018-07-01,206.9,49,52,1.0612244897959184,4.222448979591837,1.1923076923076923
1,2018-08-01,176.1,42,43,1.0238095238095237,4.192857142857143,1.255813953488372
1,2018-09-01,278.8,59,62,1.0508474576271187,4.72542372881356,1.2096774193548387
1,2018-10-01,188.1,44,45,1.0227272727272727,4.2749999999999995,1.288888888888889
1,2018-11-01,192.6,46,47,1.0217391304347827,4.1869565217391305,1.2127659574468086
1,2018-12-01,189.6,42,47,1.119047619047619,4.514285714285714,1.2127659574468086
1,2019-01-01,154.8,35,36,1.0285714285714285,4.4228571428571435,1.1666666666666667
2,2018-07-01,150.8,39,41,1.0512820512820513,3.866666666666667,1.1219512195121952
2,2018-08-01,193.8,39,43,1.1025641025641026,4.969230769230769,1.2790697674418605
2,2018-09-01,154.4,36,37,1.0277777777777777,4.288888888888889,1.1081081081081081
2,2018-10-01,167.8,41,43,1.048780487804878,4.092682926829268,1.0465116279069768
2,2018-11-01,162.9,39,40,1.0256410256410255,4.176923076923077,1.1
2,2018-12-01,136,35,37,1.0571428571428572,3.8857142857142857,1.0810810810810811
2,2019-01-01,162.8,43,45,1.0465116279069768,3.7860465116279074,1.0888888888888888
3,2018-07-01,1205.7,112,138,1.2321428571428572,10.765178571428573,1.963768115942029
3,2018-08-01,1079.75,112,131,1.1696428571428572,9.640625,1.9312977099236641
3,2018-09-01,1021.5,102,119,1.1666666666666667,10.014705882352942,1.949579831932773
3,2018-10-01,1037.9,104,119,1.1442307692307692,9.979807692307693,1.9747899159663866
3,2018-11-01,1008,101,118,1.1683168316831682,9.98019801980198,1.923728813559322
3,2018-12-01,1121.6,111,129,1.162162162162162,10.104504504504504,1.9767441860465116
3,2019-01-01,1051.7,102,119,1.1666666666666667,10.31078431372549,1.9831932773109244
4,2018-07-01,1399.9,128,158,1.234375,10.93671875,2.0126582278481013
4,2018-08-01,1259.5,123,150,1.2195121951219512,10.239837398373984,1.9333333333333333
4,2018-09-01,1198.6,119,136,1.1428571428571428,10.072268907563025,2.0294117647058822
4,2018-10-01,1346.4,123,153,1.2439024390243902,10.946341463414635,2.026143790849673
4,2018-11-01,1212,118,138,1.1694915254237288,10.271186440677965,2.0144927536231885
4,2018-12-01,1185.6,104,133,1.2788461538461537,11.399999999999999,2
4,2019-01-01,1525,134,167,1.2462686567164178,11.380597014925373,2.0059880239520957
5,2018-07-01,812,93,120,1.2903225806451613,8.731182795698924,2
5,2018-08-01,745.1,97,112,1.1546391752577319,7.681443298969072,1.9017857142857142
5,2018-09-01,896,101,125,1.2376237623762376,8.871287128712872,2
5,2018-10-01,798,88,107,1.2159090909090908,9.068181818181818,2
5,2018-11-01,771.4,85,111,1.3058823529411765,9.075294117647058,2
5,2018-12-01,879.2,95,125,1.3157894736842106,9.254736842105263,2
5,2019-01-01,838,92,117,1.2717391304347827,9.108695652173912,2.017094017094017
6,2018-07-01,260,48,51,1.0625,5.416666666666667,1.4313725490196079
6,2018-08-01,203.2,44,47,1.0681818181818181,4.618181818181818,1.425531914893617
6,2018-09-01,207.70000000000002,38,38,1,5.465789473684211,1.5
6,2018-10-01,292.4,52,54,1.0384615384615385,5.623076923076923,1.5185185185185186
6,2018-11-01,255.3,50,51,1.02,5.106,1.4509803921568627
6,2018-12-01,209.1,38,41,1.0789473684210527,5.502631578947368,1.3902439024390243
6,2019-01-01,191.1,35,37,1.0571428571428572,5.46,1.3783783783783783
7,2018-07-01,1024.7,100,120,1.2,10.247,1.9
7,2018-08-01,1119.9,109,130,1.1926605504587156,10.274311926605506,1.9384615384615385
7,2018-09-01,1147.3,111,128,1.1531531531531531,10.336036036036036,1.96875
7,2018-10-01,1063.9,108,124,1.1481481481481481,9.850925925925926,1.8870967741935485
7,2018-11-01,1076.5,111,129,1.162162162162162,9.698198198198199,1.9224806201550388
7,2018-12-01,906.1,95,112,1.1789473684210525,9.537894736842105,1.9017857142857142
7,2019-01-01,975.1,102,113,1.107843137254902,9.559803921568628,1.9557522123893805
8,2018-07-01,381.6,40,43,1.075,9.540000000000001,1.9767441860465116
8,2018-08-01,383,46,46,1,8.326086956521738,1.891304347826087
8,2018-09-01,293,36,36,1,8.13888888888889,1.9444444444444444
8,2018-10-01,422.8,45,49,1.0888888888888888,9.395555555555555,2
8,2018-11-01,349.2,39,40,1.0256410256410255,8.953846153846154,2
8,2018-12-01,356.4,36,40,1.1111111111111112,9.899999999999999,1.975
8,2019-01-01,445,47,50,1.0638297872340425,9.46808510638298,2
9,2018-07-01,289.7,46,50,1.0869565217391304,6.297826086956522,1.7
9,2018-08-01,327.5,52,56,1.0769230769230769,6.298076923076923,1.6964285714285714
9,2018-09-01,369.7,55,59,1.0727272727272728,6.721818181818182,1.8135593220338984
9,2018-10-01,361,55,57,1.0363636363636364,6.5636363636363635,1.8245614035087718
9,2018-11-01,374.4,61,65,1.0655737704918034,6.137704918032787,1.7076923076923076
9,2018-12-01,382.6,58,61,1.0517241379310345,6.596551724137932,1.8032786885245902
9,2019-01-01,399.4,65,66,1.0153846153846153,6.144615384615384,1.7727272727272727
10,2018-07-01,892,100,122,1.22,8.92,2
10,2018-08-01,878.65,96,123,1.28125,9.152604166666666,1.943089430894309
10,2018-09-01,945,112,136,1.2142857142857142,8.4375,2.0441176470588234
10,2018-10-01,910.8,93,125,1.3440860215053763,9.793548387096774,2.032
10,2018-11-01,885,100,128,1.28,8.85,2
10,2018-12-01,936.6,108,134,1.2407407407407407,8.672222222222222,2.029850746268657
10,2019-01-01,878.6,102,126,1.2352941176470589,8.613725490196078,2
12,2018-07-01,429.6,47,49,1.0425531914893618,9.140425531914895,2
12,2018-08-01,360.8,44,45,1.0227272727272727,8.200000000000001,1.8888888888888888
12,2018-09-01,417.6,48,49,1.0208333333333333,8.700000000000001,2
12,2018-10-01,423.6,43,46,1.069767441860465,9.851162790697675,2.0434782608695654
12,2018-11-01,456.6,49,51,1.0408163265306123,9.318367346938777,2
12,2018-12-01,495.2,53,57,1.0754716981132075,9.343396226415095,2
12,2019-01-01,451.8,46,49,1.065217391304348,9.821739130434782,2.0408163265306123
13,2018-07-01,811.8,97,120,1.2371134020618557,8.369072164948452,2
13,2018-08-01,756.9,96,113,1.1770833333333333,7.8843749999999995,1.9469026548672566
13,2018-09-01,840,96,123,1.28125,8.75,2
13,2018-10-01,851,97,122,1.2577319587628866,8.77319587628866,2.0163934426229506
13,2018-11-01,1049.4,120,152,1.2666666666666666,8.745000000000001,2.026315789473684
13,2018-12-01,878.6,106,130,1.2264150943396226,8.288679245283019,2.0307692307692307
13,2019-01-01,927,97,130,1.3402061855670102,9.556701030927835,2
14,2018-07-01,46.9,8,8,1,5.8625,1.875
14,2018-08-01,46.8,8,8,1,5.85,1.75
14,2018-09-01,47.5,7,7,1,6.785714285714286,1.8571428571428572
14,2018-10-01,42,6,6,1,7,1.8333333333333333
14,2018-11-01,47.6,8,8,1,5.95,1.75
14,2018-12-01,34.4,6,6,1,5.733333333333333,2
14,2019-01-01,18,3,3,1,6,2
15,2018-07-01,742.6,84,103,1.2261904761904763,8.84047619047619,2
15,2018-08-01,840.2,105,129,1.2285714285714286,8.001904761904763,1.937984496124031
15,2018-09-01,837,89,119,1.3370786516853932,9.404494382022472,2
15,2018-10-01,828.4,88,114,1.2954545454545454,9.413636363636364,2
15,2018-11-01,647.2,78,96,1.2307692307692308,8.297435897435898,2
